id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,penyebab_kematian,jumlah_kematian,satuan,tahun
26,32,JAWA BARAT,3204,KABUPATEN BANDUNG,DEMAM,1,ORANG,2019
27,32,JAWA BARAT,3204,KABUPATEN BANDUNG,DIFTERI,0,ORANG,2019
28,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAIN-LAIN,9,ORANG,2019
29,32,JAWA BARAT,3205,KABUPATEN GARUT,PNEUMONIA,0,ORANG,2019
30,32,JAWA BARAT,3205,KABUPATEN GARUT,DIARE,0,ORANG,2019
31,32,JAWA BARAT,3205,KABUPATEN GARUT,MALARIA,0,ORANG,2019
32,32,JAWA BARAT,3205,KABUPATEN GARUT,CAMPAK,0,ORANG,2019
33,32,JAWA BARAT,3205,KABUPATEN GARUT,DEMAM,0,ORANG,2019
34,32,JAWA BARAT,3205,KABUPATEN GARUT,DIFTERI,0,ORANG,2019
35,32,JAWA BARAT,3205,KABUPATEN GARUT,LAIN-LAIN,1,ORANG,2019
36,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PNEUMONIA,0,ORANG,2019
37,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,DIARE,0,ORANG,2019
38,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MALARIA,0,ORANG,2019
39,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,CAMPAK,0,ORANG,2019
40,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,DEMAM,2,ORANG,2019
41,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,DIFTERI,0,ORANG,2019
42,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAIN-LAIN,13,ORANG,2019
43,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PNEUMONIA,0,ORANG,2019
44,32,JAWA BARAT,3207,KABUPATEN CIAMIS,DIARE,0,ORANG,2019
45,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MALARIA,0,ORANG,2019
46,32,JAWA BARAT,3207,KABUPATEN CIAMIS,CAMPAK,0,ORANG,2019
47,32,JAWA BARAT,3207,KABUPATEN CIAMIS,DEMAM,0,ORANG,2019
48,32,JAWA BARAT,3207,KABUPATEN CIAMIS,DIFTERI,0,ORANG,2019
49,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAIN-LAIN,16,ORANG,2019
50,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PNEUMONIA,0,ORANG,2019
51,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,DIARE,0,ORANG,2019
52,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MALARIA,0,ORANG,2019
53,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,CAMPAK,0,ORANG,2019
54,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,DEMAM,0,ORANG,2019
55,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,DIFTERI,0,ORANG,2019
56,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAIN-LAIN,2,ORANG,2019
57,32,JAWA BARAT,3209,KABUPATEN CIREBON,PNEUMONIA,1,ORANG,2019
58,32,JAWA BARAT,3209,KABUPATEN CIREBON,DIARE,0,ORANG,2019
59,32,JAWA BARAT,3209,KABUPATEN CIREBON,MALARIA,0,ORANG,2019
60,32,JAWA BARAT,3209,KABUPATEN CIREBON,CAMPAK,0,ORANG,2019
61,32,JAWA BARAT,3209,KABUPATEN CIREBON,DEMAM,0,ORANG,2019
62,32,JAWA BARAT,3209,KABUPATEN CIREBON,DIFTERI,0,ORANG,2019
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAIN-LAIN,4,ORANG,2019
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PNEUMONIA,0,ORANG,2019
65,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,DIARE,0,ORANG,2019
66,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MALARIA,0,ORANG,2019
67,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,CAMPAK,0,ORANG,2019
68,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,DEMAM,0,ORANG,2019
69,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,DIFTERI,0,ORANG,2019
70,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAIN-LAIN,5,ORANG,2019
71,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PNEUMONIA,0,ORANG,2019
72,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,DIARE,0,ORANG,2019
73,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MALARIA,0,ORANG,2019
74,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,CAMPAK,0,ORANG,2019
75,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,DEMAM,0,ORANG,2019
76,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,DIFTERI,0,ORANG,2019
77,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAIN-LAIN,10,ORANG,2019
78,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PNEUMONIA,0,ORANG,2019
79,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,DIARE,0,ORANG,2019
80,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MALARIA,0,ORANG,2019
81,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,CAMPAK,0,ORANG,2019
82,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,DEMAM,1,ORANG,2019
83,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,DIFTERI,0,ORANG,2019
84,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAIN-LAIN,7,ORANG,2019
85,32,JAWA BARAT,3213,KABUPATEN SUBANG,PNEUMONIA,0,ORANG,2019
86,32,JAWA BARAT,3213,KABUPATEN SUBANG,DIARE,0,ORANG,2019
87,32,JAWA BARAT,3213,KABUPATEN SUBANG,MALARIA,0,ORANG,2019
88,32,JAWA BARAT,3213,KABUPATEN SUBANG,CAMPAK,0,ORANG,2019
89,32,JAWA BARAT,3213,KABUPATEN SUBANG,DEMAM,0,ORANG,2019
90,32,JAWA BARAT,3213,KABUPATEN SUBANG,DIFTERI,0,ORANG,2019
91,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAIN-LAIN,3,ORANG,2019
92,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PNEUMONIA,1,ORANG,2019
93,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DIARE,1,ORANG,2019
94,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MALARIA,0,ORANG,2019
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,CAMPAK,0,ORANG,2019
96,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DEMAM,0,ORANG,2019
97,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DIFTERI,0,ORANG,2019
98,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAIN-LAIN,8,ORANG,2019
99,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PNEUMONIA,0,ORANG,2019
100,32,JAWA BARAT,3215,KABUPATEN KARAWANG,DIARE,0,ORANG,2019
101,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MALARIA,0,ORANG,2019
102,32,JAWA BARAT,3215,KABUPATEN KARAWANG,CAMPAK,0,ORANG,2019
103,32,JAWA BARAT,3215,KABUPATEN KARAWANG,DEMAM,0,ORANG,2019
104,32,JAWA BARAT,3215,KABUPATEN KARAWANG,DIFTERI,0,ORANG,2019
105,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAIN-LAIN,4,ORANG,2019
106,32,JAWA BARAT,3216,KABUPATEN BEKASI,PNEUMONIA,0,ORANG,2019
107,32,JAWA BARAT,3216,KABUPATEN BEKASI,DIARE,0,ORANG,2019
108,32,JAWA BARAT,3216,KABUPATEN BEKASI,MALARIA,0,ORANG,2019
109,32,JAWA BARAT,3216,KABUPATEN BEKASI,CAMPAK,0,ORANG,2019
110,32,JAWA BARAT,3216,KABUPATEN BEKASI,DEMAM,0,ORANG,2019
111,32,JAWA BARAT,3216,KABUPATEN BEKASI,DIFTERI,0,ORANG,2019
112,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAIN-LAIN,0,ORANG,2019
113,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PNEUMONIA,3,ORANG,2019
114,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,DIARE,3,ORANG,2019
115,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MALARIA,0,ORANG,2019
116,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,CAMPAK,0,ORANG,2019
117,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,DEMAM,3,ORANG,2019
118,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,DIFTERI,0,ORANG,2019
119,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAIN-LAIN,1,ORANG,2019
120,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PNEUMONIA,0,ORANG,2019
121,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,DIARE,0,ORANG,2019
122,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MALARIA,0,ORANG,2019
123,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,CAMPAK,0,ORANG,2019
124,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,DEMAM,1,ORANG,2019
125,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,DIFTERI,0,ORANG,2019
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAIN-LAIN,0,ORANG,2019
127,32,JAWA BARAT,3271,KOTA BOGOR,PNEUMONIA,0,ORANG,2019
128,32,JAWA BARAT,3271,KOTA BOGOR,DIARE,0,ORANG,2019
129,32,JAWA BARAT,3271,KOTA BOGOR,MALARIA,0,ORANG,2019
130,32,JAWA BARAT,3271,KOTA BOGOR,CAMPAK,0,ORANG,2019
131,32,JAWA BARAT,3271,KOTA BOGOR,DEMAM,0,ORANG,2019
132,32,JAWA BARAT,3271,KOTA BOGOR,DIFTERI,0,ORANG,2019
133,32,JAWA BARAT,3271,KOTA BOGOR,LAIN-LAIN,4,ORANG,2019
134,32,JAWA BARAT,3272,KOTA SUKABUMI,PNEUMONIA,0,ORANG,2019
135,32,JAWA BARAT,3272,KOTA SUKABUMI,DIARE,0,ORANG,2019
136,32,JAWA BARAT,3272,KOTA SUKABUMI,MALARIA,0,ORANG,2019
137,32,JAWA BARAT,3272,KOTA SUKABUMI,CAMPAK,0,ORANG,2019
138,32,JAWA BARAT,3272,KOTA SUKABUMI,DEMAM,0,ORANG,2019
139,32,JAWA BARAT,3272,KOTA SUKABUMI,DIFTERI,0,ORANG,2019
140,32,JAWA BARAT,3272,KOTA SUKABUMI,LAIN-LAIN,1,ORANG,2019
141,32,JAWA BARAT,3273,KOTA BANDUNG,PNEUMONIA,3,ORANG,2019
142,32,JAWA BARAT,3273,KOTA BANDUNG,DIARE,1,ORANG,2019
143,32,JAWA BARAT,3273,KOTA BANDUNG,MALARIA,0,ORANG,2019
144,32,JAWA BARAT,3273,KOTA BANDUNG,CAMPAK,0,ORANG,2019
145,32,JAWA BARAT,3273,KOTA BANDUNG,DEMAM,13,ORANG,2019
146,32,JAWA BARAT,3273,KOTA BANDUNG,DIFTERI,0,ORANG,2019
147,32,JAWA BARAT,3273,KOTA BANDUNG,LAIN-LAIN,10,ORANG,2019
148,32,JAWA BARAT,3274,KOTA CIREBON,PNEUMONIA,1,ORANG,2019
149,32,JAWA BARAT,3274,KOTA CIREBON,DIARE,0,ORANG,2019
150,32,JAWA BARAT,3274,KOTA CIREBON,MALARIA,0,ORANG,2019
151,32,JAWA BARAT,3274,KOTA CIREBON,CAMPAK,0,ORANG,2019
152,32,JAWA BARAT,3274,KOTA CIREBON,DEMAM,1,ORANG,2019
153,32,JAWA BARAT,3274,KOTA CIREBON,DIFTERI,0,ORANG,2019
154,32,JAWA BARAT,3274,KOTA CIREBON,LAIN-LAIN,2,ORANG,2019
155,32,JAWA BARAT,3275,KOTA BEKASI,PNEUMONIA,0,ORANG,2019
156,32,JAWA BARAT,3275,KOTA BEKASI,DIARE,0,ORANG,2019
157,32,JAWA BARAT,3275,KOTA BEKASI,MALARIA,0,ORANG,2019
158,32,JAWA BARAT,3275,KOTA BEKASI,CAMPAK,0,ORANG,2019
159,32,JAWA BARAT,3275,KOTA BEKASI,DEMAM,0,ORANG,2019
160,32,JAWA BARAT,3275,KOTA BEKASI,DIFTERI,0,ORANG,2019
161,32,JAWA BARAT,3275,KOTA BEKASI,LAIN-LAIN,3,ORANG,2019
162,32,JAWA BARAT,3276,KOTA DEPOK,PNEUMONIA,0,ORANG,2019
163,32,JAWA BARAT,3276,KOTA DEPOK,DIARE,0,ORANG,2019
164,32,JAWA BARAT,3276,KOTA DEPOK,MALARIA,0,ORANG,2019
165,32,JAWA BARAT,3276,KOTA DEPOK,CAMPAK,0,ORANG,2019
166,32,JAWA BARAT,3276,KOTA DEPOK,DEMAM,1,ORANG,2019
167,32,JAWA BARAT,3276,KOTA DEPOK,DIFTERI,0,ORANG,2019
168,32,JAWA BARAT,3276,KOTA DEPOK,LAIN-LAIN,3,ORANG,2019
169,32,JAWA BARAT,3277,KOTA CIMAHI,PNEUMONIA,0,ORANG,2019
170,32,JAWA BARAT,3277,KOTA CIMAHI,DIARE,0,ORANG,2019
171,32,JAWA BARAT,3277,KOTA CIMAHI,MALARIA,0,ORANG,2019
172,32,JAWA BARAT,3277,KOTA CIMAHI,CAMPAK,0,ORANG,2019
173,32,JAWA BARAT,3277,KOTA CIMAHI,DEMAM,0,ORANG,2019
174,32,JAWA BARAT,3277,KOTA CIMAHI,DIFTERI,0,ORANG,2019
175,32,JAWA BARAT,3277,KOTA CIMAHI,LAIN-LAIN,2,ORANG,2019
176,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PNEUMONIA,1,ORANG,2019
177,32,JAWA BARAT,3278,KOTA TASIKMALAYA,DIARE,1,ORANG,2019
178,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MALARIA,0,ORANG,2019
179,32,JAWA BARAT,3278,KOTA TASIKMALAYA,CAMPAK,0,ORANG,2019
180,32,JAWA BARAT,3278,KOTA TASIKMALAYA,DEMAM,0,ORANG,2019
181,32,JAWA BARAT,3278,KOTA TASIKMALAYA,DIFTERI,0,ORANG,2019
182,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAIN-LAIN,9,ORANG,2019
183,32,JAWA BARAT,3279,KOTA BANJAR,PNEUMONIA,1,ORANG,2019
184,32,JAWA BARAT,3279,KOTA BANJAR,DIARE,3,ORANG,2019
185,32,JAWA BARAT,3279,KOTA BANJAR,MALARIA,0,ORANG,2019
186,32,JAWA BARAT,3279,KOTA BANJAR,CAMPAK,0,ORANG,2019
187,32,JAWA BARAT,3279,KOTA BANJAR,DEMAM,1,ORANG,2019
188,32,JAWA BARAT,3279,KOTA BANJAR,DIFTERI,0,ORANG,2019
189,32,JAWA BARAT,3279,KOTA BANJAR,LAIN-LAIN,9,ORANG,2019
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,PNEUMONIA,0,ORANG,2020
191,32,JAWA BARAT,3201,KABUPATEN BOGOR,DIARE,0,ORANG,2020
192,32,JAWA BARAT,3201,KABUPATEN BOGOR,MALARIA,0,ORANG,2020
193,32,JAWA BARAT,3201,KABUPATEN BOGOR,CAMPAK,0,ORANG,2020
194,32,JAWA BARAT,3201,KABUPATEN BOGOR,DEMAM,0,ORANG,2020
195,32,JAWA BARAT,3201,KABUPATEN BOGOR,DIFTERI,0,ORANG,2020
196,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAIN-LAIN,8,ORANG,2020
197,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PNEUMONIA,8,ORANG,2020
198,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,DIARE,5,ORANG,2020
199,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MALARIA,0,ORANG,2020
200,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,CAMPAK,0,ORANG,2020
201,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,DEMAM,5,ORANG,2020
202,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,DIFTERI,0,ORANG,2020
203,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAIN-LAIN,13,ORANG,2020
204,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PNEUMONIA,6,ORANG,2020
205,32,JAWA BARAT,3203,KABUPATEN CIANJUR,DIARE,2,ORANG,2020
206,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MALARIA,0,ORANG,2020
207,32,JAWA BARAT,3203,KABUPATEN CIANJUR,CAMPAK,0,ORANG,2020
208,32,JAWA BARAT,3203,KABUPATEN CIANJUR,DEMAM,0,ORANG,2020
209,32,JAWA BARAT,3203,KABUPATEN CIANJUR,DIFTERI,0,ORANG,2020
210,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAIN-LAIN,14,ORANG,2020
211,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PNEUMONIA,1,ORANG,2020
212,32,JAWA BARAT,3204,KABUPATEN BANDUNG,DIARE,0,ORANG,2020
213,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MALARIA,0,ORANG,2020
214,32,JAWA BARAT,3204,KABUPATEN BANDUNG,CAMPAK,0,ORANG,2020
215,32,JAWA BARAT,3204,KABUPATEN BANDUNG,DEMAM,0,ORANG,2020
216,32,JAWA BARAT,3204,KABUPATEN BANDUNG,DIFTERI,0,ORANG,2020
217,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAIN-LAIN,7,ORANG,2020
218,32,JAWA BARAT,3205,KABUPATEN GARUT,PNEUMONIA,3,ORANG,2020
219,32,JAWA BARAT,3205,KABUPATEN GARUT,DIARE,0,ORANG,2020
220,32,JAWA BARAT,3205,KABUPATEN GARUT,MALARIA,0,ORANG,2020
221,32,JAWA BARAT,3205,KABUPATEN GARUT,CAMPAK,0,ORANG,2020
222,32,JAWA BARAT,3205,KABUPATEN GARUT,DEMAM,0,ORANG,2020
223,32,JAWA BARAT,3205,KABUPATEN GARUT,DIFTERI,0,ORANG,2020
224,32,JAWA BARAT,3205,KABUPATEN GARUT,LAIN-LAIN,2,ORANG,2020
225,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PNEUMONIA,3,ORANG,2020
226,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,DIARE,0,ORANG,2020
227,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MALARIA,0,ORANG,2020
228,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,CAMPAK,0,ORANG,2020
229,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,DEMAM,2,ORANG,2020
230,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,DIFTERI,0,ORANG,2020
231,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAIN-LAIN,6,ORANG,2020
232,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PNEUMONIA,1,ORANG,2020
233,32,JAWA BARAT,3207,KABUPATEN CIAMIS,DIARE,0,ORANG,2020
234,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MALARIA,0,ORANG,2020
235,32,JAWA BARAT,3207,KABUPATEN CIAMIS,CAMPAK,0,ORANG,2020
236,32,JAWA BARAT,3207,KABUPATEN CIAMIS,DEMAM,0,ORANG,2020
237,32,JAWA BARAT,3207,KABUPATEN CIAMIS,DIFTERI,0,ORANG,2020
238,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAIN-LAIN,6,ORANG,2020
239,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PNEUMONIA,0,ORANG,2020
240,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,DIARE,1,ORANG,2020
241,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MALARIA,0,ORANG,2020
242,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,CAMPAK,0,ORANG,2020
243,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,DEMAM,0,ORANG,2020
244,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,DIFTERI,0,ORANG,2020
245,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAIN-LAIN,2,ORANG,2020
246,32,JAWA BARAT,3209,KABUPATEN CIREBON,PNEUMONIA,0,ORANG,2020
247,32,JAWA BARAT,3209,KABUPATEN CIREBON,DIARE,0,ORANG,2020
248,32,JAWA BARAT,3209,KABUPATEN CIREBON,MALARIA,0,ORANG,2020
249,32,JAWA BARAT,3209,KABUPATEN CIREBON,CAMPAK,0,ORANG,2020
250,32,JAWA BARAT,3209,KABUPATEN CIREBON,DEMAM,0,ORANG,2020
251,32,JAWA BARAT,3209,KABUPATEN CIREBON,DIFTERI,0,ORANG,2020
252,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAIN-LAIN,5,ORANG,2020
253,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PNEUMONIA,0,ORANG,2020
254,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,DIARE,1,ORANG,2020
255,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MALARIA,0,ORANG,2020
256,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,CAMPAK,0,ORANG,2020
257,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,DEMAM,0,ORANG,2020
258,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,DIFTERI,0,ORANG,2020
259,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAIN-LAIN,3,ORANG,2020
260,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PNEUMONIA,0,ORANG,2020
261,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,DIARE,3,ORANG,2020
262,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MALARIA,0,ORANG,2020
263,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,CAMPAK,0,ORANG,2020
264,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,DEMAM,0,ORANG,2020
265,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,DIFTERI,0,ORANG,2020
266,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAIN-LAIN,17,ORANG,2020
267,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PNEUMONIA,0,ORANG,2020
268,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,DIARE,0,ORANG,2020
269,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MALARIA,0,ORANG,2020
270,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,CAMPAK,0,ORANG,2020
271,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,DEMAM,0,ORANG,2020
272,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,DIFTERI,0,ORANG,2020
273,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAIN-LAIN,1,ORANG,2020
274,32,JAWA BARAT,3213,KABUPATEN SUBANG,PNEUMONIA,0,ORANG,2020
275,32,JAWA BARAT,3213,KABUPATEN SUBANG,DIARE,0,ORANG,2020
276,32,JAWA BARAT,3213,KABUPATEN SUBANG,MALARIA,0,ORANG,2020
277,32,JAWA BARAT,3213,KABUPATEN SUBANG,CAMPAK,0,ORANG,2020
278,32,JAWA BARAT,3213,KABUPATEN SUBANG,DEMAM,0,ORANG,2020
279,32,JAWA BARAT,3213,KABUPATEN SUBANG,DIFTERI,0,ORANG,2020
280,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAIN-LAIN,0,ORANG,2020
281,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PNEUMONIA,0,ORANG,2020
282,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DIARE,0,ORANG,2020
283,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MALARIA,0,ORANG,2020
284,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,CAMPAK,0,ORANG,2020
285,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DEMAM,0,ORANG,2020
286,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DIFTERI,0,ORANG,2020
287,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAIN-LAIN,3,ORANG,2020
288,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PNEUMONIA,2,ORANG,2020
289,32,JAWA BARAT,3215,KABUPATEN KARAWANG,DIARE,1,ORANG,2020
290,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MALARIA,0,ORANG,2020
291,32,JAWA BARAT,3215,KABUPATEN KARAWANG,CAMPAK,0,ORANG,2020
292,32,JAWA BARAT,3215,KABUPATEN KARAWANG,DEMAM,1,ORANG,2020
293,32,JAWA BARAT,3215,KABUPATEN KARAWANG,DIFTERI,0,ORANG,2020
294,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAIN-LAIN,4,ORANG,2020
295,32,JAWA BARAT,3216,KABUPATEN BEKASI,PNEUMONIA,0,ORANG,2020
